               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  92,            0.021669,            0.011394,                   0,             0.99795,                   1,               0.995,             0.85399,             0.01615,           0.0029126,                   0,           0.0063964,           0.0063964,           0.0063964
                  93,             0.01976,            0.010974,                   0,             0.99766,                   1,               0.995,             0.86995,            0.015662,           0.0030113,                   0,           0.0063568,           0.0063568,           0.0063568
                  94,            0.020464,            0.010591,                   0,                   1,             0.99839,               0.995,             0.88135,            0.016894,           0.0029083,                   0,           0.0063172,           0.0063172,           0.0063172
                  95,            0.019237,            0.010408,                   0,                   1,             0.99987,               0.995,              0.8728,             0.01523,           0.0027899,                   0,           0.0062776,           0.0062776,           0.0062776
                  96,            0.020039,            0.010333,                   0,             0.99847,                   1,               0.995,             0.88204,            0.013663,           0.0029389,                   0,            0.006238,            0.006238,            0.006238
                  97,            0.019778,            0.010346,                   0,             0.99563,                   1,               0.995,             0.86422,             0.01517,           0.0028357,                   0,           0.0061984,           0.0061984,           0.0061984
                  98,            0.019789,            0.010157,                   0,              0.9934,                   1,               0.995,             0.87904,            0.015262,           0.0027504,                   0,           0.0061588,           0.0061588,           0.0061588
                  99,            0.019922,            0.010249,                   0,             0.98439,                   1,               0.995,             0.87477,            0.015842,           0.0029715,                   0,           0.0061192,           0.0061192,           0.0061192
                 100,            0.019559,           0.0098823,                   0,             0.99126,                   1,               0.995,             0.88771,            0.015138,           0.0027027,                   0,           0.0060796,           0.0060796,           0.0060796
                 101,             0.02004,            0.010698,                   0,                   1,             0.99773,               0.995,             0.85788,            0.014957,           0.0030034,                   0,             0.00604,             0.00604,             0.00604
                 102,            0.019228,              0.0105,                   0,             0.99508,                   1,               0.995,             0.87035,            0.014682,            0.002842,                   0,           0.0060004,           0.0060004,           0.0060004
                 103,            0.019581,            0.010377,                   0,             0.99841,                   1,               0.995,             0.85462,            0.015665,           0.0027553,                   0,           0.0059608,           0.0059608,           0.0059608
                 104,            0.018913,            0.010069,                   0,             0.99712,                   1,               0.995,             0.82193,            0.014019,           0.0029276,                   0,           0.0059212,           0.0059212,           0.0059212
                 105,            0.018059,            0.010101,                   0,                   1,             0.99966,               0.995,             0.85269,            0.015015,           0.0026948,                   0,           0.0058816,           0.0058816,           0.0058816
                 106,            0.018785,            0.010204,                   0,             0.99782,                   1,               0.995,             0.87373,            0.014571,            0.002562,                   0,            0.005842,            0.005842,            0.005842
                 107,            0.018582,            0.010047,                   0,             0.99762,                   1,               0.995,             0.84797,              0.0167,           0.0026623,                   0,           0.0058024,           0.0058024,           0.0058024
                 108,             0.01922,           0.0096574,                   0,             0.99251,                   1,               0.995,             0.86439,              0.0151,           0.0025936,                   0,           0.0057628,           0.0057628,           0.0057628
                 109,            0.017923,            0.010168,                   0,             0.99915,                   1,               0.995,             0.85964,            0.014708,           0.0027362,                   0,           0.0057232,           0.0057232,           0.0057232
                 110,            0.018112,            0.010089,                   0,             0.99702,                   1,               0.995,             0.83185,            0.013572,           0.0031352,                   0,           0.0056836,           0.0056836,           0.0056836
                 111,            0.018092,            0.010042,                   0,             0.98076,                   1,              0.9945,             0.85889,            0.013983,           0.0026353,                   0,            0.005644,            0.005644,            0.005644
                 112,            0.017624,           0.0095559,                   0,             0.99979,                   1,               0.995,             0.86059,            0.013182,           0.0027967,                   0,           0.0056044,           0.0056044,           0.0056044
                 113,            0.017957,           0.0098748,                   0,             0.99808,                   1,               0.995,             0.87048,            0.013412,           0.0026092,                   0,           0.0055648,           0.0055648,           0.0055648
                 114,            0.016837,            0.009736,                   0,             0.99869,                   1,               0.995,             0.87075,             0.01345,            0.002913,                   0,           0.0055252,           0.0055252,           0.0055252
                 115,            0.018244,           0.0098307,                   0,                   1,             0.99961,               0.995,              0.8499,            0.014003,           0.0027595,                   0,           0.0054856,           0.0054856,           0.0054856
                 116,            0.018613,           0.0092402,                   0,                   1,             0.99681,               0.995,             0.85555,            0.015526,           0.0025033,                   0,            0.005446,            0.005446,            0.005446
                 117,            0.018579,           0.0098663,                   0,              0.9978,                   1,               0.995,             0.86501,            0.013728,           0.0029125,                   0,           0.0054064,           0.0054064,           0.0054064
                 118,            0.017782,           0.0098647,                   0,             0.99765,                   1,               0.995,             0.87447,            0.013583,            0.002636,                   0,           0.0053668,           0.0053668,           0.0053668
                 119,            0.017345,           0.0092199,                   0,             0.99882,                   1,               0.995,             0.86522,            0.014544,           0.0024894,                   0,           0.0053272,           0.0053272,           0.0053272
                 120,            0.017769,           0.0098026,                   0,                   1,             0.99927,               0.995,             0.87947,            0.013301,           0.0024872,                   0,           0.0052876,           0.0052876,           0.0052876
                 121,            0.018022,           0.0096129,                   0,                   1,             0.99875,               0.995,             0.86615,            0.014069,           0.0024248,                   0,            0.005248,            0.005248,            0.005248
                 122,            0.017042,           0.0094339,                   0,             0.99888,                   1,               0.995,              0.8923,            0.013448,           0.0024352,                   0,           0.0052084,           0.0052084,           0.0052084
                 123,            0.017498,           0.0093492,                   0,             0.99801,                   1,               0.995,             0.82273,            0.016303,           0.0027264,                   0,           0.0051688,           0.0051688,           0.0051688
                 124,            0.016728,           0.0090006,                   0,             0.99632,                   1,               0.995,             0.86432,            0.014388,            0.002447,                   0,           0.0051292,           0.0051292,           0.0051292
                 125,            0.017511,           0.0095208,                   0,             0.98203,                   1,             0.99483,             0.86737,            0.014381,           0.0026305,                   0,           0.0050896,           0.0050896,           0.0050896
                 126,            0.017193,            0.009277,                   0,              0.9976,                   1,               0.995,             0.84211,            0.017019,           0.0025272,                   0,             0.00505,             0.00505,             0.00505
                 127,            0.016923,           0.0095823,                   0,             0.99726,                   1,               0.995,             0.87871,            0.014507,           0.0023778,                   0,           0.0050104,           0.0050104,           0.0050104
                 128,            0.016686,           0.0091925,                   0,             0.99938,                   1,               0.995,             0.86405,            0.015219,           0.0026246,                   0,           0.0049708,           0.0049708,           0.0049708
                 129,            0.016591,           0.0091867,                   0,             0.99852,                   1,               0.995,             0.85202,            0.015834,           0.0023942,                   0,           0.0049312,           0.0049312,           0.0049312
                 130,            0.017464,           0.0090601,                   0,             0.99868,                   1,               0.995,             0.84899,            0.014958,           0.0026642,                   0,           0.0048916,           0.0048916,           0.0048916
                 131,            0.017475,           0.0093211,                   0,              0.9982,                   1,               0.995,              0.8644,             0.01484,           0.0025842,                   0,            0.004852,            0.004852,            0.004852
                 132,            0.016993,           0.0091976,                   0,             0.99695,                   1,               0.995,             0.86209,            0.014196,            0.002674,                   0,           0.0048124,           0.0048124,           0.0048124
                 133,            0.016738,            0.009245,                   0,             0.99736,                   1,               0.995,             0.89513,            0.013679,             0.00241,                   0,           0.0047728,           0.0047728,           0.0047728
                 134,            0.016354,           0.0093631,                   0,             0.99844,                   1,               0.995,             0.85233,            0.014255,           0.0024503,                   0,           0.0047332,           0.0047332,           0.0047332
                 135,            0.016941,           0.0097468,                   0,              0.9982,                   1,               0.995,             0.88267,             0.01362,           0.0025454,                   0,           0.0046936,           0.0046936,           0.0046936
                 136,            0.016277,           0.0088592,                   0,             0.98326,             0.99575,             0.99483,             0.87948,            0.015164,           0.0025995,                   0,            0.004654,            0.004654,            0.004654
                 137,             0.01623,           0.0087593,                   0,                   1,             0.99988,               0.995,             0.87131,            0.014031,            0.002575,                   0,           0.0046144,           0.0046144,           0.0046144
                 138,            0.016404,           0.0088508,                   0,             0.99906,                   1,               0.995,             0.85362,            0.015323,           0.0024607,                   0,           0.0045748,           0.0045748,           0.0045748
                 139,            0.016937,           0.0091551,                   0,             0.99806,                   1,               0.995,             0.87398,             0.01335,            0.002615,                   0,           0.0045352,           0.0045352,           0.0045352
                 140,             0.01648,           0.0090511,                   0,             0.99824,                   1,               0.995,             0.87596,            0.013975,           0.0025053,                   0,           0.0044956,           0.0044956,           0.0044956
                 141,            0.016376,           0.0086296,                   0,             0.99863,                   1,               0.995,             0.88678,            0.014681,           0.0025203,                   0,            0.004456,            0.004456,            0.004456
                 142,            0.017224,           0.0087048,                   0,             0.99818,                   1,               0.995,              0.8522,            0.015356,           0.0026545,                   0,           0.0044164,           0.0044164,           0.0044164
                 143,            0.016118,           0.0089019,                   0,             0.99905,                   1,               0.995,             0.86088,            0.014889,           0.0026143,                   0,           0.0043768,           0.0043768,           0.0043768
                 144,            0.016637,             0.00866,                   0,             0.99695,                   1,               0.995,              0.8838,            0.014062,           0.0024631,                   0,           0.0043372,           0.0043372,           0.0043372
                 145,            0.016267,           0.0091065,                   0,             0.99787,                   1,               0.995,              0.8827,            0.014716,           0.0023734,                   0,           0.0042976,           0.0042976,           0.0042976
                 146,            0.015383,           0.0086319,                   0,             0.99795,                   1,               0.995,             0.87334,            0.014299,           0.0024083,                   0,            0.004258,            0.004258,            0.004258
                 147,            0.016283,           0.0086133,                   0,             0.99803,                   1,               0.995,             0.87782,            0.014413,           0.0024359,                   0,           0.0042184,           0.0042184,           0.0042184
                 148,            0.015177,           0.0085981,                   0,             0.99841,                   1,               0.995,             0.89474,            0.014055,           0.0023292,                   0,           0.0041788,           0.0041788,           0.0041788
                 149,            0.015844,           0.0089525,                   0,             0.99835,                   1,               0.995,             0.87826,            0.013271,            0.002429,                   0,           0.0041392,           0.0041392,           0.0041392
                 150,            0.015232,           0.0087831,                   0,             0.99774,                   1,               0.995,              0.8865,            0.013921,           0.0024642,                   0,           0.0040996,           0.0040996,           0.0040996
                 151,            0.015342,           0.0085247,                   0,              0.9981,                   1,               0.995,             0.88291,            0.013105,           0.0024639,                   0,             0.00406,             0.00406,             0.00406
                 152,            0.015521,            0.008553,                   0,                   1,             0.99779,               0.995,             0.87244,             0.01432,           0.0025547,                   0,           0.0040204,           0.0040204,           0.0040204
                 153,            0.014168,           0.0080056,                   0,             0.99793,                   1,               0.995,             0.86481,            0.015091,           0.0023139,                   0,           0.0039808,           0.0039808,           0.0039808
                 154,            0.015148,            0.008698,                   0,             0.99837,                   1,               0.995,             0.87475,            0.013749,           0.0023315,                   0,           0.0039412,           0.0039412,           0.0039412
                 155,            0.015195,            0.008007,                   0,             0.98192,                   1,             0.99483,             0.88425,            0.013779,           0.0023975,                   0,           0.0039016,           0.0039016,           0.0039016
                 156,             0.01492,           0.0081696,                   0,             0.98331,             0.99832,             0.99483,             0.85562,            0.014079,           0.0024969,                   0,            0.003862,            0.003862,            0.003862
                 157,             0.01451,           0.0081021,                   0,             0.99877,                   1,               0.995,              0.8758,            0.014117,            0.002328,                   0,           0.0038224,           0.0038224,           0.0038224
                 158,            0.015052,           0.0084425,                   0,             0.99873,                   1,               0.995,             0.87684,            0.014854,           0.0024485,                   0,           0.0037828,           0.0037828,           0.0037828
                 159,            0.014707,           0.0078944,                   0,                   1,             0.99982,               0.995,             0.88256,            0.014202,           0.0023054,                   0,           0.0037432,           0.0037432,           0.0037432
                 160,            0.014989,           0.0080446,                   0,             0.99828,                   1,               0.995,             0.86649,             0.01498,           0.0024618,                   0,           0.0037036,           0.0037036,           0.0037036
                 161,            0.014764,            0.007936,                   0,             0.99861,                   1,               0.995,             0.88217,            0.013088,           0.0023054,                   0,            0.003664,            0.003664,            0.003664
                 162,            0.015373,           0.0078804,                   0,             0.99835,                   1,               0.995,             0.88567,            0.013014,           0.0023719,                   0,           0.0036244,           0.0036244,           0.0036244
                 163,            0.015346,           0.0080779,                   0,             0.99842,                   1,               0.995,             0.90525,            0.013695,            0.002373,                   0,           0.0035848,           0.0035848,           0.0035848
                 164,            0.014369,           0.0079131,                   0,             0.99791,                   1,               0.995,              0.9001,            0.013343,            0.002347,                   0,           0.0035452,           0.0035452,           0.0035452
                 165,            0.014554,           0.0080713,                   0,             0.98083,                   1,             0.99483,             0.89719,            0.013168,           0.0023533,                   0,           0.0035056,           0.0035056,           0.0035056
                 166,            0.014954,           0.0080778,                   0,             0.99662,                   1,               0.995,             0.89364,            0.013183,           0.0023087,                   0,            0.003466,            0.003466,            0.003466
                 167,            0.014811,           0.0080203,                   0,              0.9965,                   1,               0.995,             0.90231,            0.012627,           0.0023858,                   0,           0.0034264,           0.0034264,           0.0034264
                 168,            0.014144,           0.0083505,                   0,               0.996,                   1,               0.995,             0.89909,             0.01228,            0.002303,                   0,           0.0033868,           0.0033868,           0.0033868
                 169,            0.014282,           0.0084959,                   0,             0.99662,                   1,               0.995,             0.89738,            0.012902,           0.0023129,                   0,           0.0033472,           0.0033472,           0.0033472
                 170,            0.013775,           0.0079876,                   0,             0.99815,                   1,               0.995,             0.88696,            0.013621,           0.0024201,                   0,           0.0033076,           0.0033076,           0.0033076
